,bubble_sort,shaker_sort,selection_sort,quick_sort,modified_quick_sort,merge_sort,hash_sort
03,06.00,04.64,04.81,05.39,04.95,05.81,04.09
04,08.00,05.61,06.91,06.43,05.75,07.15,05.04
05,09.95,06.60,08.95,08.76,07.09,08.40,05.98
06,11.98,07.59,10.98,10.46,08.38,09.59,06.99
07,14.00,08.59,12.99,12.52,09.60,10.77,07.99
08,15.99,09.59,14.99,14.37,10.86,11.92,08.99
09,18.00,10.59,17.00,16.29,12.00,13.06,10.00
10,20.00,11.59,19.00,18.32,13.19,14.19,11.00
11,22.00,12.59,21.00,20.35,14.33,15.30,12.00
12,24.00,13.59,23.00,22.34,15.47,16.41,13.00
