	bubble	shaker	selection	quick	modified	merge	hash
03	03.46	03.46	01.00	04.39	04.25	05.58	04.00
04	04.86	04.86	00.00	06.54	05.61	07.00	05.00
05	05.93	05.93	00.00	08.60	06.92	08.32	06.00
06	06.95	06.95	00.00	10.44	08.23	09.58	07.00
07	07.97	07.97	00.00	12.38	09.53	10.81	08.00
08	08.99	08.99	00.00	14.32	10.68	12.00	09.00
09	09.99	09.99	00.00	16.35	11.93	13.17	10.00
10	11.00	11.00	00.00	18.35	13.11	14.32	11.00
11	12.00	12.00	00.00	20.32	14.27	15.46	12.00
12	13.00	13.00	00.00	22.33	15.41	16.58	13.00
